['202061815154737689', '无色或淡黄色澄清液体，可带轻微乳光。']
['202061815322777717', None]
['202061815265565435', '注射剂(大容量注射剂)']
['202061815475810289', None]
['202061815311274864', None]
['202061815333287365', None]
['202061815313775427', None]
['20206181547469374', None]
['202061815313775433', None]
['202061815133831020', None]
['2020618154224351', None]
['20206181527472877', None]
['202061815443611032', '本品为棕褐色的粘稠液体；气芳香，味甜。']
['202061815311275073', None]
['202061815472618408', None]
['2020618154323102832', None]
['20206181526163489', None]
['202061815174454826', None]
['202061815315076675', '本品为黄色水丸；气微香，味苦。']
['20206181533227230', None]
['202061815274866618', None]
['202061815314975756', None]
['202061815305974680', None]
['20206181531989579', None]
['20206181524067490', None]
['20206181545224005', '本品为胶囊剂，内容物为着色混合颗粒。']
['202061815114125179', None]
['20206181519945624', None]
['202061815255462578', None]
['20206181511723998', '本品为浅黄色颗粒；味甜，微苦。']
['20206181542308492', None]
['202061815305874465', None]
['20206181550021991', None]
['202061815111724257', None]
['202061815132230293', None]
['202061815183544605', '本品为蓝色椭圆形薄膜衣片，除去包衣后显蓝色。']
['202061815372789350', None]
['20206181542598373', None]
['202061815342781835', None]
['20206181546196577', '本品为淡棕色的粘稠液体；气香，味甜，具清凉感。']
['202061815494914543', None]
['202061815323278186', '本品为白色或着色的片或异型片。可加适当的矫味剂和芳香剂。']
['2020618154230101532', '本品为硬胶囊剂，内容物为类白色或微黄色颗粒。']
['202061815105135615', None]
['202061815362387884', None]
['202061815291970944', None]
['202061815375890414', '本品为黄棕色至棕褐色颗粒；味甜。']
['20206181537394131', None]
['202061815172041287', None]
['202061815192747264', '该品为白色疏松块状物或粉末，专用溶剂为无色的透明液体。']
['202061815375596621', None]
['20206181548419989', '本品为糖衣片，除去糖衣后显白色。']
['2020618159517830', None]
['202061815153036556', None]
['202061815132330344', None]
['202061815181057272', None]
['202061815195948282', '本品为无色的澄明液体；味微咸。']
['202061815124828024', None]
['20206181543489105', None]
['202061815321977837', None]
['20206181585333585', '本品为乳剂型基质的乳白色软膏。']
['20206181540495622', None]
['202061815145634747', None]
['202061815193647660', '本品为糖衣片，除去包衣后显浅黄色。']
['2020618154034828', '白色片。']
['202061815314475240', None]
['202061815345983767', None]
['202061815384297533', None]
['202061815181657705', None]
['202061815242758350', '本品为白色或类白色粉末,味微甜,有橙香味。']
['202061815181657703', '本品为棕色粘稠的液体；味甜。']
['202061815101533996', None]
['202061815283468625', None]
['20206181536386405', '本品为糖衣片，除去包衣后显灰褐色，夹杂有少许白点；']
['2020618154748179', None]
['202061815284969477', None]
['202061815115326132', None]
['202061815151234950', None]
['202061815502916172', None]
['202061815255262530', None]
['202061815153937091', None]
['202061815355286052', None]
['202061815471617118', None]
['202061815412197889', None]
['202061815482411182', '本品为硬胶囊，内容物为淡黄色至棕褐色的粉末，有较强的引湿性；气香，味苦、甘。']
['20206181510420726', '本品为淡黄棕色或黄棕色澄清的粘稠液体；气微、味甜。']
['20206181548010366', '本品为糖衣片，除去糖衣后显灰褐色；味微苦。']
['202061815303085400', None]
['202061815155237454', '本品为糖衣片，除去糖衣后显白色或类白色。']
['202061815184345149', None]
['202061815101121600', None]
['202061815251372110', '本品为棕黄色颗粒，味微甜。']
['20206181543538826', None]
['202061815204850355', None]
['20206181548420004', '本品为无色的澄明液体。']
['20206181540462174', '本品为胶囊剂，内容物为白色或类白色结晶性粉末。']
['20206181594920379', None]
['20206181541097260', None]
['202061815213052187', None]
['202061815372489079', None]
['202061815412398319', '本品为白色或类白色片。']
['202061815383991498', None]
['2020618154323102862', None]
['202061814584160543', '本品为肠溶片，除去包衣后显白色或类白色。']
['202061815224954433', None]
['20206181519945621', None]
['202061815372289334', None]
['202061815255362568', None]
['20206181519745537', None]
['20206181545495263', None]
['20206181546196572', '本品为淡棕色的粘稠液体；气香，味甜，具清凉感。']
['20206181547459276', None]
['202061815333087105', None]
['202061815313775441', None]
['202061815103122636', None]
['202061815483220186', '本品为薄膜衣片，除去薄膜衣后显棕褐色。']
['202061815295971767', None]
['202061815255362566', None]
['2020618154323102830', None]
['202061815384494601', None]
['202061815145534659', None]
['202061815252661583', None]
['20206181544553282', '本品为白色片，有引湿性。']
['202061815355186447', None]
['202061815274866603', '本品为白色片。']
['20206181546196675', None]
['202061815211851015', '本品为糖衣片，除去糖衣后显白色。']
['202061815371394095', None]
['202061815295771530', None]
['202061815275466570', '本品为棕色或黄色的液体。']
['20206181513729146', '本品为白色薄膜衣片；除去薄膜衣后，显白色或类白色。']
['20206181544151675', None]
['202061815342381646', None]
['202061815273266015', None]
['2020618159417731', None]
['202061815502515961', '本品为薄膜衣片，除去包衣后显白色或淡黄色。']
['202061815175142797', '本品为无色至淡黄色的透明液体；气芳香，味甜。']
['202061815113825191', None]
['2020618154696443', '本品为白色或类白色片。']
['202061815273674289', None]
['202061815183244556', '本品为糖衣片，除去糖衣后显白色。']
['20206181545435244', None]
['202061815401995959', None]
['20206181513829426', None]
['20206181522960547', '本品为胶囊剂，内容物为棕黄色粉粒，含褐色小粒；味微苦、涩。']
['2020618154031482', '本品为糖衣片，除去包衣后，显白色或类白色。']
['202061815475319788', '本品为无色的澄明液体。']
['202061815264464634', None]
['202061815405597025', None]
['202061815125729060', None]
['20206181534190353', '本品为深棕色的浓缩丸；气芳香，味甘、微苦。']
['202061815202048925', None]
['202061815243359067', None]
['20206181531674503', None]
['202061815355085118', None]
['20206181518557531', '本品为胶囊剂，内容物为类白色或淡黄色丸状颗粒。']
['202061815475610410', None]
['202061815483920154', None]
['202061815313775430', None]
['202061815173446992', None]
['202061815364287708', None]
['202061815371994998', None]
['202061815405797151', None]
['20206181530382803', None]
['202061815255362577', None]
['20206181585433525', '本品为灰褐色至棕褐色片；气香，味辛、甜而微苦。']
['20206181543489076', None]
['20206181510220497', '本品为黄棕色至深棕色颗粒。气香，味微甜。']
['202061815101421168', '片剂(薄膜衣)(糖衣)']
['202061815363987981', None]
['20206181519445381', None]
['202061815394894204', '颗粒剂']
['202061815313475414', None]
['202061815312074962', None]
['20206181592118806', None]
['202061815162744003', None]
['2020618154241101773', '本品为胶囊剂，内容物为类白色或微黄色颗粒。']
['202061815492713514', None]
['20206181523455697', None]
['202061815463312538', '本品为淡黄色至棕黄色颗粒；味酸、甘。']
['202061815494714817', None]
['202061815272666224', '本品为棕红色的液体；味甜、微苦。']
['202061815305974272', '本品为浅黄色至浅黄棕色的澄清液体；味甜、微苦，有凉喉感。']
['202061815372196048', None]
['202061815102522359', None]
['202061815195548351', '本品为无色或几乎无色的澄明液体。']
['20206181540795739', None]
['202061815474819732', None]
['20206181535683930', None]
['202061815321977803', None]
['202061815215652949', None]
['202061815502015859', None]
['202061815385292479', None]
['202061815362287664', None]
['20206181544191569', '本品为白色片或薄膜衣片，除去包衣后显白色或类白色。']
['2020618154305448', '本品为长方形、方块形或丁状。棕色至黑褐色，有光泽。质硬而脆，断面光亮，碎片对光照视呈棕色半透明状。气微，味微甘。']
['202061815484712280', '本品为红棕色的液体；气香,味甜,微苦。']
['202061815155542164', None]
['202061815395795341', '本品为黄色至棕褐色的颗粒；味甜。']
['202061815212651715', None]
['20206181592919232', '本品为黄棕色至棕褐色的颗粒，味甜，微苦。']
['202061815294271139', None]
['202061815131229731', None]
['202061815255562872', None]
['202061815295571510', None]
['202061815331079595', '本品为胶囊剂，内容物为淡黄色颗粒或粉末。']
['202061815381391319', '本品为红褐色液体；味苦、辛、微甜。']
['20206181594433986', '为糖衣或炭衣浓缩丸，除去包衣后显褐色或棕褐色；味苦、清凉。']
['20206181522753386', None]
['20206181548619946', '本品为白色或类白色疏松块状物或粉末。']
['202061815312174998', None]
['202061815111924355', None]
['202061815475119647', '本品为糖衣浓缩丸，除去糖衣后显黑棕色至黑褐色；味苦。']
['202061815202649548', None]
['20206181546357232', None]
['2020618154326102951', None]
['202061815171941238', None]
['202061815451311936', None]
['20206181515934841', None]
['202061815194747925', '本品为棕色的粘稠液体；味甜、微苦.']
['202061815272866356', '本品为糖衣片，除去糖衣后，显褐绿色或黄褐色至棕褐色；味极苦。']
['202061815154236654', '本品为糖衣片，除去包以后显污绿色；味苦。']
['20206181531285750', None]
['202061815315575779', None]
['20206181536886765', None]
['20206181548420009', '本品为白色或类白色颗粒。']
['2020618153930100028', '本品为糖衣片，除去糖衣后显白色味苦。']
['202061815133430482', None]
['202061815214052026', None]
['202061815263063695', None]
['20206181516037745', '本品为白色片或糖衣片。']
['20206181541696967', None]
['202061815274066591', '本品为糖衣片,除去糖衣后显棕褐色；味微苦。']
['202061815242258598', None]
['20206181512726771', '本品为淡绿色澄清油状液体；有特殊的香气，味凉而辣。']
['202061815161143571', None]
['202061815262363809', None]
['20206181545515363', None]
['20206181543479074', None]
['202061815284769381', None]
['202061815494214925', '本品为淡黄色的片；味淡或微咸。']
['20206181515534918', '本品为硬胶囊，内容物为棕色至棕褐色的粉末；气特异，味微辛、苦。']
['202061815271372835', None]
['202061815405597059', None]
['202061815401995956', '本品为深棕色的澄清液体（久贮略有浑浊）；味辛、苦。']
['202061815181157369', '本品为白色肠溶胶囊剂,内含黄白色粉末。']
['20206181517640918', None]
['20206181545213996', '本品为胶囊剂，内容物为着色混合颗粒。']
['20206181521450787', None]
['202061815131830714', None]
['202061815255572433', '本品为胶囊剂，内容物为浅棕色或棕色的粉末；味苦。']
['202061815262463834', None]
['2020618159833653', '本品为薄膜衣片，除去包衣后为黄色，味苦。']
['202061815291170244', '本品为白色冻干块状物或粉末。']
['20206181585033501', '本品为无色澄明液体，PH6.9±0.5。']
['202061815315377572', None]
['202061815141432138', None]
['202061815152742055', None]
['202061815321577936', None]
['20206181524167704', '本品为胶囊剂，内容物为棕褐色至褐色的颗粒或粉末；气微香，味微苦。']
['202061815172044279', None]
['20206181543558957', None]
['202061815491213395', None]
['20206181539492663', None]
['202061815322077869', None]
['202061815215052515', None]
['202061815151241777', None]
['202061815275976257', None]
['202061815162243714', None]
['20206181543469169', None]
['202061815133931152', '本品为胶囊剂，内容物为棕褐色的颗粒，味苦。']
['202061815262563869', None]
['202061815181157367', '本品为复方制剂，淡黄色细颗粒。']
['20206181510634324', '本品为灰褐色的粉末；气香，味辛、苦、凉。']
['202061815284169363', None]
['202061815155743152', None]
['202061815173346981', None]
['202061815413498776', None]
['20206181543479049', None]
['202061815193647664', '本品为浅棕色至棕色的片；气芳香，味苦、辛。']
['20206181540412552', None]
['2020618153930100026', None]
['2020618154342210', '本品为白色冻干粉末。 成份 本品主要成分为重组人生长激素（rhGH），由191个氨基酸组成']
['20206181592018747', None]
['202061815354184556', '本品为黄色至橙黄色片。']
['202061815333880590', None]
['20206181533179479', '品为淡灰黄色的粉末；气微香，味微甘。']
